Image Filename,Original Location,Branding Detected Yes/No,Detection Method,Branding Area Coordinates,Safe To Auto-Clean Yes/No,Reason,Needs Manual Mask Yes/No
luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-1.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=30646. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-2.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=44181. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-3.jpg,Yes,top-right color logo heuristic,"875,20,423,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=22546. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-4.jpg,Yes,top-right color logo heuristic,"842,20,463,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=78138. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-golden-handwork-palazzo-set-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-golden-handwork-palazzo-set-for-festive-events-image-1.jpg,Yes,top-right color logo heuristic,"967,66,279,125",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=7507.,No
luxemia-golden-handwork-palazzo-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-golden-handwork-palazzo-set-for-festive-events-image-2.jpg,Yes,top-right color logo heuristic,"966,46,322,145",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=13275.,No
luxemia-golden-handwork-palazzo-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-golden-handwork-palazzo-set-for-festive-events-image-3.jpg,Yes,top-right color logo heuristic,"966,45,322,146",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=13557.,No
luxemia-golden-handwork-palazzo-set-for-festive-events-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-golden-handwork-palazzo-set-for-festive-events-image-4.jpg,Yes,top-right color logo heuristic,"967,66,279,125",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=7284.,No
luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-1.jpg,Yes,top-right color logo heuristic,"884,20,421,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=42494. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-2.jpg,Yes,top-right color logo heuristic,"910,20,395,265",No,Likely repeated LaPink mark in upper-right region; saturated logo pixels=9993. Warning: large mask area; inspect for garment/background distortion.,Yes
luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-3.jpg,Yes,fallback top-right LaPink mask,"913,69,359,178",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=0.,Yes
luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,Yes,top-right color logo heuristic,"965,62,282,132",Yes,Likely repeated LaPink mark in upper-right region; saturated logo pixels=8731.,No
