Image Filename,x,y,width,height,Notes
luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-1.jpg,842,20,463,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-2.jpg,842,20,463,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-3.jpg,875,20,423,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-4.jpg,842,20,463,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-golden-handwork-palazzo-set-for-festive-events-image-1.jpg,967,66,279,125,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-golden-handwork-palazzo-set-for-festive-events-image-2.jpg,966,46,322,145,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-golden-handwork-palazzo-set-for-festive-events-image-3.jpg,966,45,322,146,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-golden-handwork-palazzo-set-for-festive-events-image-4.jpg,967,66,279,125,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-1.jpg,884,20,421,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-2.jpg,910,20,395,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-3.jpg,913,69,359,178,Generated from fallback top-right LaPink mask. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,965,62,282,132,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,965,63,283,129,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,842,45,441,192,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,975,20,330,168,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-1.jpg,861,20,428,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-2.jpg,906,20,322,248,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-3.jpg,850,20,455,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-4.jpg,842,20,463,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-yellow-moti-suit-set-for-festive-events-image-1.jpg,842,36,463,249,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-yellow-moti-suit-set-for-festive-events-image-2.jpg,842,20,463,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-yellow-moti-suit-set-for-festive-events-image-3.jpg,842,23,463,262,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-yellow-moti-suit-set-for-festive-events-image-4.jpg,842,20,463,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-pink-mirror-palazzo-set-for-festive-events-image-1.jpg,842,20,463,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-pink-mirror-palazzo-set-for-festive-events-image-2.jpg,842,24,463,261,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-pink-mirror-palazzo-set-for-festive-events-image-3.jpg,842,45,463,240,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-pink-mirror-palazzo-set-for-festive-events-image-4.jpg,842,20,463,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-grey-moti-sharara-suit-for-festive-events-image-1.jpg,913,69,359,178,Generated from fallback top-right LaPink mask. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-grey-moti-sharara-suit-for-festive-events-image-2.jpg,843,20,462,265,Generated from top-right color logo heuristic. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
luxemia-grey-moti-sharara-suit-for-festive-events-image-3.jpg,913,69,359,178,Generated from fallback top-right LaPink mask. Edit this row before rerunning if the rectangle misses any branding or touches product detail.
