Page URL,Page Type,Current Page Title,Current Meta Description,Proposed Page Title,Proposed Meta Description,Primary Keyword(s),Secondary Keyword(s),Notes
https://luxemia.shop/,Collection/Category,Indian Ethnic Wear Online USA | LuxeMia,"Shop authentic South Asian bridal wear, sarees, lehengas, suits and menswear with tracked shipping to the USA, Canada, UK and supported markets.","Indian Ethnic Wear Online USA | Sarees, Lehengas & More | LuxeMia","Shop bridal lehengas, wedding sarees and salwar suits online in the USA. Free US shipping over $150, custom stitching and a $30 fit guarantee.",indian ethnic wear online usa; buy lehenga online usa,bridal saree online; indian wedding outfits for women,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/collections/bridal-lehengas,Collection/Category,Bridal Lehengas USA | Indian Wedding Styles | LuxeMia,"Shop bridal lehengas online in the USA. Compare current colors, stated fabric, embroidery, included choli and dupatta pieces, sizing and availability.",Bridal Lehengas Online USA | Buy Wedding Lehenga | LuxeMia,"Buy bridal lehengas online in the USA with custom stitching. Compare embroidered wedding lehenga prices, fabrics and included dupatta. Free US shipping over $199.",bridal lehenga online usa; buy wedding lehenga online,indian bridal lehenga price; lehenga with dupatta,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/collections/wedding-sarees,Collection/Category,Wedding Guest & Reception Sarees USA | LuxeMia,"Explore sarees for Indian wedding guests and receptions in the USA. Review listed fabric, blouse details, stitching, price and availability.",Wedding Sarees Online USA | Reception & Guest | LuxeMia,"Shop wedding and reception sarees online in the USA. Silk, georgette and organza sarees with stitched blouse options, tracked shipping and easy size help.",wedding saree online usa; reception saree online,indian wedding guest saree; silk saree usa,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/collections/party-wear-lehengas,Collection/Category,Party-Wear Lehengas USA | Festive Styles | LuxeMia,"Shop party-wear lehengas online in the USA. Compare colors, stated fabric, embroidery, included pieces, sizing and availability for festive events.",Party Wear Lehengas USA | Festive & Sangeet | LuxeMia,"Party wear lehengas for sangeet, haldi and festive nights — shipped across the USA. Compare sequin work, fabrics and prices. Free US shipping over $199.",party wear lehenga usa; sangeet lehenga online,festive lehenga choli; sequin lehenga online,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/collections/designer-sarees,Collection/Category,Designer Sarees USA | Embroidered Party Styles | LuxeMia,"Shop designer sarees online in the USA. Compare colors, stated fabric, embellishment, blouse details, price and availability.",Designer Sarees Online USA | Embroidered Styles | LuxeMia,"Designer sarees with embroidery and stonework, shipped USA-wide. Compare blouse-included styles, fabrics and current prices. Custom stitching available.",designer saree online usa; embroidered saree online,party wear saree usa; saree with stitched blouse,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/collections/anarkali-suits,Collection/Category,Anarkali Suits Online USA | Wedding & Party Wear | LuxeMia,"Shop Anarkali suits online in the USA. Compare colors, stated fabric, embroidery, included dupatta and bottoms, size options and availability.",Anarkali Suits Online USA | Wedding & Party Wear | LuxeMia,"Buy Anarkali suits online in the USA. Floor-length Anarkalis with dupatta and bottoms, custom stitching available. Free US shipping over $199.",anarkali suit online usa; buy anarkali dress online,floor length anarkali usa; anarkali with dupatta,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/collections/gharara-suits,Collection/Category,Gharara Suit Sets Online USA | Wedding Wear | LuxeMia,"Find a gharara suit set online for weddings and celebrations. Compare colors, embroidery, sizes and included pieces. Free U.S. standard shipping at $150+.",Gharara Suit Sets Online USA | Wedding Wear | LuxeMia,"Gharara suit sets for weddings and nikah events, shipped across the USA. Compare embroidery, sizes and included pieces before you order.",gharara suit online usa; gharara set for wedding,pakistani style gharara usa; nikah outfit online,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/collections/sharara-suits,Collection/Category,Sharara Suits Online USA | Wedding Sets | LuxeMia,"Shop sharara suits online for weddings and festive events. Compare embroidered sets, sizes and included pieces. Free U.S. standard shipping at $150+.",Sharara Suits Online USA | Wedding Sets | LuxeMia,"Shop sharara suits online for weddings, sangeet and festive events in the USA. Compare embroidered sets, sizes and included dupatta. Tracked US shipping.",sharara suit online usa; sharara set wedding,sangeet sharara; indian sharara dress usa,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/collections/wedding-guest-outfits,Collection/Category,Indian Wedding Guest Outfits USA | LuxeMia,"Shop Indian wedding guest sarees and lehengas for receptions and sangeet in the USA. Compare listed fabrics, pieces, sizes and availability.",Indian Wedding Guest Outfits USA | Sarees & Lehengas | LuxeMia,"Not sure what to wear to an Indian wedding? Shop guest outfits by event — mehendi, sangeet, reception — shipped USA-wide with size guidance.",indian wedding guest outfits usa; what to wear to indian wedding,wedding guest lehenga; wedding guest saree usa,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/collections/navratri-outfits,Collection/Category,Navratri Chaniya Choli for Garba USA | LuxeMia,"Shop Navratri chaniya choli for Garba and Dandiya in the USA. Compare listed fabrics, mirror work, included pieces, sizes and current availability.",Navratri Chaniya Choli USA | Garba & Dandiya | LuxeMia,"Navratri chaniya choli with mirror work for Garba and Dandiya nights in the USA. Compare fabrics, sizes and included dupatta. Order before the festive rush.",navratri chaniya choli usa; garba dress online,dandiya outfit usa; mirror work chaniya choli,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/lehengas,Collection/Category,Bridal & Wedding Lehengas Online USA | LuxeMia,"Shop wedding and festive lehenga choli online in the USA. Compare fabrics, included pieces, stitching, sizes and current prices.",Lehengas Online USA | Bridal & Festive Lehenga Choli | LuxeMia,"Shop lehenga cholis online in the USA — bridal, party and festive styles with custom stitching and a $30 fit guarantee. Free US shipping over $199.",lehenga online usa; lehenga choli online usa,buy lehenga usa; custom lehenga stitching,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/sarees,Collection/Category,Indian Wedding Sarees Online USA | LuxeMia,"Shop Indian wedding sarees online in the USA. Compare fabrics, blouse inclusion, stitching options, current prices and availability.",Sarees Online USA | Wedding & Party Wear Sarees | LuxeMia,"Buy sarees online in the USA. Compare silk, georgette and organza sarees with blouse options, stitching choices and tracked shipping. Free shipping over $199.",saree online usa; buy saree online usa,indian saree usa; saree with blouse,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/suits,Collection/Category,"Salwar Kameez & Suits Online | Anarkali, Sharara | LuxeMia","Shop salwar kameez, Anarkali, sharara and palazzo suits. Compare fabric, included pieces, stitching, sizing, availability and processing details.",Salwar Kameez & Indian Suits Online USA | LuxeMia,"Shop salwar kameez, palazzo and Anarkali suits online in the USA. Compare fabrics, embroidery and stitching options. Free US shipping over $199.",salwar kameez online usa; indian suits online,palazzo suit usa; punjabi suit online usa,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/menswear,Collection/Category,Buy Sherwanis Online USA | Groom & Wedding | LuxeMia,"Shop sherwanis, kurta pajama and Indo-Western menswear. Compare fabric, included pieces, sizes, availability and processing details.",Menswear: Sherwanis & Kurta Pajama Online USA | LuxeMia,"Buy sherwanis, kurta pajama and Indo-western menswear online in the USA. Groom and wedding-party styles with size help and tracked shipping.",sherwani online usa; kurta pajama online usa,groom sherwani usa; indo western menswear,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/jewelry,Collection/Category,Kundan Bridal Jewelry & Wedding Sets | LuxeMia,"Shop Kundan-style, polki-style and bridal necklace sets. Compare materials, finish, included pieces, measurements and availability.",Kundan & Polki Bridal Jewelry Online USA | LuxeMia,"Shop kundan-style and polki-style bridal jewelry sets online in the USA. Compare necklace sets, materials and included pieces. Tracked US shipping.",kundan jewelry online usa; polki jewelry set usa,indian bridal jewelry set usa,Apply in src/config/seoArchitecture.json; verify in GSC after 30 days
https://luxemia.shop/product/3d-peacock-mirror-work-italian-silk-ready-made-blouse,Product (PDP),Peacock Mirror Work Italian Silk Ready-Made Blouse | LuxeMia,(stored in Shopify admin — product.seo),Peacock Mirror Work Italian Silk Ready-Made Blouse | LuxeMia,Ready-made blouse in peacock mirror-work Italian silk — no tailor needed. Sizing help and tracked US shipping; free over $199.,ready made saree blouse online; mirror work blouse usa,varies by fabric/occasion,PDP copy pattern — write via Shopify admin or scripts/bulk-write-shopify-seo.mjs
https://luxemia.shop/product/antique-gold-georgette-saree-with-embroidered-blouse-luxemia,Product (PDP),Antique Gold Georgette Saree with Blouse Fabric | LuxeMia,(stored in Shopify admin — product.seo),Antique Gold Georgette Saree with Blouse Fabric | LuxeMia,"Antique gold georgette saree with embroidered blouse fabric — wedding-ready. Custom stitching option, tracked US shipping, free over $199.",georgette saree online usa; antique gold saree,varies by fabric/occasion,PDP copy pattern — write via Shopify admin or scripts/bulk-write-shopify-seo.mjs
https://luxemia.shop/product/antique-gold-zari-tissue-silk-saree,Product (PDP),Antique Gold Zari Tissue Silk Saree | LuxeMia,(stored in Shopify admin — product.seo),Antique Gold Zari Tissue Silk Saree | LuxeMia,"Zari tissue silk saree in antique gold for weddings and receptions. Blouse options, size guidance and tracked US delivery. Free shipping over $199.",zari tissue silk saree; tissue saree online usa,varies by fabric/occasion,PDP copy pattern — write via Shopify admin or scripts/bulk-write-shopify-seo.mjs
https://luxemia.shop/product/beige-fancy-work-art-silk-groom-sherwani-with-stole,Product (PDP),Beige Art Silk Groom Sherwani with Stole | LuxeMia,(stored in Shopify admin — product.seo),Beige Art Silk Groom Sherwani with Stole | LuxeMia,Beige art silk sherwani with stole for grooms and wedding parties. Size help before you order and tracked US shipping. Free over $199.,groom sherwani online usa; sherwani with stole,varies by fabric/occasion,PDP copy pattern — write via Shopify admin or scripts/bulk-write-shopify-seo.mjs
https://luxemia.shop/product/black-beaded-embroidered-silk-lehenga-choli-set,Product (PDP),Black Beaded Silk Lehenga Choli Set | LuxeMia,(stored in Shopify admin — product.seo),Black Beaded Silk Lehenga Choli Set | LuxeMia,Black beaded silk lehenga choli set for receptions and parties. Compare sizes and included pieces; custom stitching available. Free US shipping over $199.,black lehenga choli online; beaded lehenga usa,varies by fabric/occasion,PDP copy pattern — write via Shopify admin or scripts/bulk-write-shopify-seo.mjs
https://luxemia.shop/product/black-butter-silk-real-mirror-gota-patti-navratri-lehenga-choli,Product (PDP),Black Butter Silk Mirror Gota Patti Navratri Lehenga | LuxeMia,(stored in Shopify admin — product.seo),Black Butter Silk Mirror Gota Patti Navratri Lehenga | LuxeMia,Butter silk Navratri lehenga with real mirror and gota patti work for Garba nights. Sizes with fit guarantee; tracked US shipping.,navratri lehenga online usa; gota patti chaniya choli,varies by fabric/occasion,PDP copy pattern — write via Shopify admin or scripts/bulk-write-shopify-seo.mjs
