Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Variant Image,Variant Weight Unit
jwl-001,Gold Kundan Work Necklace Set with Green Enamel (Meenakari) Detailing,"<p>Gold kundan work necklace set.</p>
<p>For festive events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Necklace and matching earrings (where shown).</p>
<p><strong>STITCHING:</strong> Not applicable — jewelry is ready to wear. Adjustable fit where shown.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>MATERIAL:</strong> Gold-plated brass with stones. Approx weight: 200g.</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/blog/how-to-measure-for-indian-ethnic-wear"">How to measure</a> | <a href=""https://luxemia.shop/jewelry"">Browse all jewelry</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Accessories,Jewelry,"gold,festive,kundan,jewelry,indian ethnic wear,usa,ships from india,in stock",TRUE,,,,,2000,shopify,10,deny,manual,56.00,74.00,TRUE,TRUE,LXM-jwl-001,https://kesimg.b-cdn.net/images/650/2025y/December/59471/Yellow--Wedding-Wear-Kundan-Ethnic-Design-Necklace-Set-FNKN102YLW(1).jpg,1,Gold Kundan Work Necklace Set with Green Enamel (Meenakari) Detailing,FALSE,Gold Kundan Work Necklace Set with Green Enamel (… | LuxeMia,Gold Kundan Work necklace set for festive — $56. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://kesimg.b-cdn.net/images/650/2025y/December/59471/Yellow--Wedding-Wear-Kundan-Ethnic-Design-Necklace-Set-FNKN102YLW(1).jpg,kg
jwl-002,Gold Mirror Work Necklace Set with Green Enamel Detailing,"<p>Gold mirror work necklace set.</p>
<p>For festive events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Necklace and matching earrings (where shown).</p>
<p><strong>STITCHING:</strong> Not applicable — jewelry is ready to wear. Adjustable fit where shown.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>MATERIAL:</strong> Gold-plated brass with stones. Approx weight: 200g.</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/blog/how-to-measure-for-indian-ethnic-wear"">How to measure</a> | <a href=""https://luxemia.shop/jewelry"">Browse all jewelry</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Accessories,Jewelry,"gold,festive,mirror,jewelry,indian ethnic wear,usa,ships from india,in stock",TRUE,,,,,2000,shopify,10,deny,manual,56.00,74.00,TRUE,TRUE,LXM-jwl-002,https://kesimg.b-cdn.net/images/650/2025y/December/59471/White--Wedding-Wear-Kundan-Ethnic-Design-Necklace-Set-FNKN102WHT(1).jpg,1,Gold Mirror Work Necklace Set with Green Enamel Detailing,FALSE,Gold Mirror Work Necklace Set with Green Enamel D… | LuxeMia,Gold Mirror Work necklace set for festive — $56. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://kesimg.b-cdn.net/images/650/2025y/December/59471/White--Wedding-Wear-Kundan-Ethnic-Design-Necklace-Set-FNKN102WHT(1).jpg,kg
jwl-017,Maroon Embroidered Necklace Set with with Heavy Kundan Jewelry,"<p>Maroon embroidered necklace set.</p>
<p>For festive events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Necklace and matching earrings (where shown).</p>
<p><strong>STITCHING:</strong> Not applicable — jewelry is ready to wear. Adjustable fit where shown.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>MATERIAL:</strong> Gold-plated brass with stones. Approx weight: 200g.</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/blog/how-to-measure-for-indian-ethnic-wear"">How to measure</a> | <a href=""https://luxemia.shop/jewelry"">Browse all jewelry</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Accessories,Jewelry,"maroon,festive,embroidery,jewelry,indian ethnic wear,usa,ships from india,in stock",TRUE,,,,,2000,shopify,10,deny,manual,70.00,92.00,TRUE,TRUE,LXM-jwl-017,https://kesimg.b-cdn.net/images/650/2025y/December/59473/Maroon--Wedding-Wear-Kundan-Royal-Necklace-Set-FNKN107MRN(1).jpg,1,Maroon Embroidered Necklace Set with with Heavy Kundan Jewelry,FALSE,Maroon Embroidered Necklace Set with with Heavy K… | LuxeMia,Maroon Embroidered necklace set for festive — $70. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://kesimg.b-cdn.net/images/650/2025y/December/59473/Maroon--Wedding-Wear-Kundan-Royal-Necklace-Set-FNKN107MRN(1).jpg,kg
jwl-003,Gold Kundan Work Necklace Set with Red Bead Drops,"<p>Gold kundan work necklace set.</p>
<p>For festive events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Necklace and matching earrings (where shown).</p>
<p><strong>STITCHING:</strong> Not applicable — jewelry is ready to wear. Adjustable fit where shown.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>MATERIAL:</strong> Gold-plated brass with stones. Approx weight: 200g.</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/blog/how-to-measure-for-indian-ethnic-wear"">How to measure</a> | <a href=""https://luxemia.shop/jewelry"">Browse all jewelry</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Accessories,Jewelry,"gold,festive,kundan,jewelry,indian ethnic wear,usa,ships from india,in stock",TRUE,,,,,2000,shopify,10,deny,manual,56.00,74.00,TRUE,TRUE,LXM-jwl-003,https://kesimg.b-cdn.net/images/650/2025y/December/59471/Maroon--Wedding-Wear-Kundan-Ethnic-Design-Necklace-Set-FNKN102MRN(1).jpg,1,Gold Kundan Work Necklace Set with Red Bead Drops,FALSE,Gold Kundan Work Necklace Set with Red Bead Drops | LuxeMia,Gold Kundan Work necklace set for festive — $56. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://kesimg.b-cdn.net/images/650/2025y/December/59471/Maroon--Wedding-Wear-Kundan-Ethnic-Design-Necklace-Set-FNKN102MRN(1).jpg,kg
pink-occasion-wear-georgette-lehenga-choli-with-dupatta-7082,Pink Embroidered Lehenga Choli with Matching Pink Dupatta,"<p>Pink embroidered lehenga choli with dupatta.</p>
<p>For festive events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Lehenga, choli, and dupatta.</p>
<p><strong>STITCHING OPTIONS:</strong></p>
<p>&nbsp;&nbsp;&bull; <strong>Standard Size S-XXL</strong> (+$23) — we stitch to a standard size before shipping.</p>
<p>&nbsp;&nbsp;&bull; <strong>Custom Stitching</strong> (+$37) — we stitch to your exact measurements (form emailed after order, 4-5 days extra).</p>
<p>&nbsp;&nbsp;&bull; <strong>Unstitched</strong> (+$0) — fabric shipped as-is, you arrange stitching locally.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>FABRIC:</strong> Georgette (synthetic). Approx weight: 2 kg (full set).</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/blog/how-to-measure-for-indian-ethnic-wear"">How to measure</a> | <a href=""https://luxemia.shop/lehengas"">Browse all lehengas</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Clothing,Lehenga,"pink,georgette,festive,embroidery,lehenga,lehenga choli,indian ethnic wear,usa,ships from india,in stock",TRUE,,,,,2000,shopify,10,deny,manual,91.99,131.99,TRUE,TRUE,LXM-pink-occasion-wear-g,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207082%20PINK.jpeg,1,Pink Embroidered Lehenga Choli with Matching Pink Dupatta,FALSE,Pink Embroidered Lehenga Choli with Matching Pink… | LuxeMia,Pink Embroidered lehenga choli for festive — $92. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207082%20PINK.jpeg,kg
red-party-wear-georgette-lehenga-choli-with-dupatta-7088,Red Embroidered Lehenga Choli with Contrast Dupatta,"<p>Red embroidered lehenga choli with dupatta.</p>
<p>For party events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Lehenga, choli, and dupatta.</p>
<p><strong>STITCHING OPTIONS:</strong></p>
<p>&nbsp;&nbsp;&bull; <strong>Standard Size S-XXL</strong> (+$23) — we stitch to a standard size before shipping.</p>
<p>&nbsp;&nbsp;&bull; <strong>Custom Stitching</strong> (+$37) — we stitch to your exact measurements (form emailed after order, 4-5 days extra).</p>
<p>&nbsp;&nbsp;&bull; <strong>Unstitched</strong> (+$0) — fabric shipped as-is, you arrange stitching locally.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>FABRIC:</strong> Georgette (synthetic). Approx weight: 2 kg (full set).</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/blog/how-to-measure-for-indian-ethnic-wear"">How to measure</a> | <a href=""https://luxemia.shop/lehengas"">Browse all lehengas</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Clothing,Lehenga,"red,georgette,party,embroidery,lehenga,lehenga choli,indian ethnic wear,usa,ships from india,in stock",TRUE,,,,,2000,shopify,10,deny,manual,83.99,120.99,TRUE,TRUE,LXM-red-party-wear-georg,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207088%20RED.jpeg,1,Red Embroidered Lehenga Choli with Contrast Dupatta,FALSE,Red Embroidered Lehenga Choli with Contrast Dupat… | LuxeMia,Red Embroidered lehenga choli for party — $84. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207088%20RED.jpeg,kg
white-occasion-wear-georgette-lehenga-choli-with-dupatta-7079,"White Embroidered Lehenga Choli with Sheer, Floral-Embroidered Dupatta","<p>White embroidered lehenga choli with dupatta.</p>
<p>For festive events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Lehenga, choli, and dupatta.</p>
<p><strong>STITCHING OPTIONS:</strong></p>
<p>&nbsp;&nbsp;&bull; <strong>Standard Size S-XXL</strong> (+$23) — we stitch to a standard size before shipping.</p>
<p>&nbsp;&nbsp;&bull; <strong>Custom Stitching</strong> (+$37) — we stitch to your exact measurements (form emailed after order, 4-5 days extra).</p>
<p>&nbsp;&nbsp;&bull; <strong>Unstitched</strong> (+$0) — fabric shipped as-is, you arrange stitching locally.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>FABRIC:</strong> Georgette (synthetic). Approx weight: 2 kg (full set).</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/blog/how-to-measure-for-indian-ethnic-wear"">How to measure</a> | <a href=""https://luxemia.shop/lehengas"">Browse all lehengas</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Clothing,Lehenga,"white,georgette,festive,embroidery,lehenga,lehenga choli,indian ethnic wear,usa,ships from india,in stock",TRUE,,,,,2000,shopify,10,deny,manual,97.99,140.99,TRUE,TRUE,LXM-white-occasion-wear-,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_21-VOL-34%20By%20ZEEL%20COTHING%207079%20WHITE.jpeg,1,"White Embroidered Lehenga Choli with Sheer, Floral-Embroidered Dupatta",FALSE,"White Embroidered Lehenga Choli with Sheer, Flora… | LuxeMia",White Embroidered lehenga choli for festive — $98. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_21-VOL-34%20By%20ZEEL%20COTHING%207079%20WHITE.jpeg,kg
peach-occasion-wear-georgette-lehenga-choli-with-dupatta-7083,Peach Embroidered Lehenga Choli with Contrast Dupatta,"<p>Peach embroidered lehenga choli with dupatta.</p>
<p>For festive events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Lehenga, choli, and dupatta.</p>
<p><strong>STITCHING OPTIONS:</strong></p>
<p>&nbsp;&nbsp;&bull; <strong>Standard Size S-XXL</strong> (+$23) — we stitch to a standard size before shipping.</p>
<p>&nbsp;&nbsp;&bull; <strong>Custom Stitching</strong> (+$37) — we stitch to your exact measurements (form emailed after order, 4-5 days extra).</p>
<p>&nbsp;&nbsp;&bull; <strong>Unstitched</strong> (+$0) — fabric shipped as-is, you arrange stitching locally.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>FABRIC:</strong> Georgette (synthetic). Approx weight: 2 kg (full set).</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/blog/how-to-measure-for-indian-ethnic-wear"">How to measure</a> | <a href=""https://luxemia.shop/lehengas"">Browse all lehengas</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Clothing,Lehenga,"peach,georgette,festive,embroidery,lehenga,lehenga choli,indian ethnic wear,usa,ships from india,in stock",TRUE,,,,,2000,shopify,10,deny,manual,91.99,131.99,TRUE,TRUE,LXM-peach-occasion-wear-,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207083%20PEACH.jpeg,1,Peach Embroidered Lehenga Choli with Contrast Dupatta,FALSE,Peach Embroidered Lehenga Choli with Contrast Dup… | LuxeMia,Peach Embroidered lehenga choli for festive — $92. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207083%20PEACH.jpeg,kg
yellow-party-wear-georgette-lehenga-choli-with-dupatta-7088,Yellow Mirror Work Lehenga Choli with Matching Sheer Dupatta,"<p>Yellow mirror work lehenga choli with dupatta.</p>
<p>For party events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Lehenga, choli, and dupatta.</p>
<p><strong>STITCHING OPTIONS:</strong></p>
<p>&nbsp;&nbsp;&bull; <strong>Standard Size S-XXL</strong> (+$23) — we stitch to a standard size before shipping.</p>
<p>&nbsp;&nbsp;&bull; <strong>Custom Stitching</strong> (+$37) — we stitch to your exact measurements (form emailed after order, 4-5 days extra).</p>
<p>&nbsp;&nbsp;&bull; <strong>Unstitched</strong> (+$0) — fabric shipped as-is, you arrange stitching locally.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>FABRIC:</strong> Georgette (synthetic). Approx weight: 2 kg (full set).</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/blog/how-to-measure-for-indian-ethnic-wear"">How to measure</a> | <a href=""https://luxemia.shop/lehengas"">Browse all lehengas</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Clothing,Lehenga,"yellow,georgette,party,mirror,lehenga,lehenga choli,indian ethnic wear,usa,ships from india,in stock",TRUE,,,,,2000,shopify,10,deny,manual,83.99,120.99,TRUE,TRUE,LXM-yellow-party-wear-ge,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_23-VOL-34%20By%20ZEEL%20COTHING%207088%20YELLOW.jpeg,1,Yellow Mirror Work Lehenga Choli with Matching Sheer Dupatta,FALSE,Yellow Mirror Work Lehenga Choli with Matching Sh… | LuxeMia,Yellow Mirror Work lehenga choli for party — $84. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_23-VOL-34%20By%20ZEEL%20COTHING%207088%20YELLOW.jpeg,kg
orange-occasion-wear-georgette-lehenga-choli-with-dupatta-7081,Orange Mirror Work Lehenga Choli with Matching Orange Dupatta,"<p>Orange mirror work lehenga choli with dupatta.</p>
<p>For festive events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Lehenga, choli, and dupatta.</p>
<p><strong>STITCHING OPTIONS:</strong></p>
<p>&nbsp;&nbsp;&bull; <strong>Standard Size S-XXL</strong> (+$23) — we stitch to a standard size before shipping.</p>
<p>&nbsp;&nbsp;&bull; <strong>Custom Stitching</strong> (+$37) — we stitch to your exact measurements (form emailed after order, 4-5 days extra).</p>
<p>&nbsp;&nbsp;&bull; <strong>Unstitched</strong> (+$0) — fabric shipped as-is, you arrange stitching locally.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>FABRIC:</strong> Georgette (synthetic). Approx weight: 2 kg (full set).</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/blog/how-to-measure-for-indian-ethnic-wear"">How to measure</a> | <a href=""https://luxemia.shop/lehengas"">Browse all lehengas</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Clothing,Lehenga,"orange,georgette,festive,mirror,lehenga,lehenga choli,indian ethnic wear,usa,ships from india,in stock",TRUE,,,,,2000,shopify,10,deny,manual,91.99,131.99,TRUE,TRUE,LXM-orange-occasion-wear,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_21-VOL-34%20By%20ZEEL%20COTHING%207081%20ORANGE.jpeg,1,Orange Mirror Work Lehenga Choli with Matching Orange Dupatta,FALSE,Orange Mirror Work Lehenga Choli with Matching Or… | LuxeMia,Orange Mirror Work lehenga choli for festive — $92. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_21-VOL-34%20By%20ZEEL%20COTHING%207081%20ORANGE.jpeg,kg
